aggregator_name,gst,grn_number,type_of_submission,purchase_invoice_number,purchase_invoice_date,dispatched_state,dispatched_place,invoice_quantity,plant_quantity,aggregator_wbs_number,aggregator_wbs_date,plant_wbs_number,plant_wbs_date,vehicle_number,eway_bill_number,lr_number,lr_date,category_name,material_name,supply_type,trader_name,trader_add,trader_gst,trader_contact_person,trader_contact,
Ah Scrap Traders,SDDD3468,1104,Monthly,232,09-08-2022,Maharashtra,Mumbai,"10,270.00","10,460.00",13680,09-08-2022,1941 / 1947 / 1949,10-08-2022,MH03CV5126,2414 6616 6457,,,Rigid,LDPE,,,,,,,
Ah Scrap Traders,SDDD3469,1117,Monthly,233,10-08-2022,Maharashtra,Mumbai,"10,230.00","10,295.00",493,10-08-2022,1983 / 1986,12-08-2022,MH03CV9922,2714 6664 2112,,,Rigid,LDPE,,,,,,,
Ah Scrap Traders,SDDD3470,1195,Monthly,234,17-08-2022,Maharashtra,Mumbai,"10,020.00","10,005.00",13835,17-08-2022,2209 / 2213,19-08-2022,MH03CV6234,2514 6867 0058,,,Rigid,LDPE,,,,,,,
Ah Scrap Traders,SDDD3471,1204,Monthly,235,18-08-2022,Maharashtra,Mumbai,"10,330.00","10,230.00",2731,18-08-2022,2231 / 2241 / 2243,20-08-2022,MH03CV5126,2114 6963 6875,,,Rigid,LDPE,,,,,,,
Ah Scrap Traders,SDDD3472,1210,Monthly,236,20-08-2022,Maharashtra,Mumbai,"9,930.00","9,945.00",1496,20-08-2022,2266 / 2268,22-08-2022,MH02FG7721,2014 7055 8370,,,Rigid,LDPE,,,,,,,
Ah Scrap Traders,SDDD3473,1241,Monthly,237,24-08-2022,Maharashtra,Mumbai,"10,020.00","10,000.00",14007,24-08-2022,2370 / 2376,26-08-2022,MH01CV9010,2414 7178 3829,,,Rigid,LDPE,,,,,,,
Ak Plastic Scrap Traders,SDDD3474,1055,Monthly,408,02-08-2022,Maharashtra,Mumbai,"10,430.00","10,430.00",31049,02-08-2022,1781 / 1778,05-08-2022,MH48BM8417,2214 6322 6659,,,Rigid,LDPE,,,,,,,
Ak Plastic Scrap Traders,SDDD3475,1063,Monthly,409,04-08-2022,Maharashtra,Mumbai,"10,490.00","10,470.00",31328,04-08-2022,1795 / 1800,05-08-2022,MH48BM2944,2514 6384 3387,,,Rigid,LDPE,,,,,,,
Ak Plastic Scrap Traders,SDDD3476,1092,Monthly,410,07-08-2022,Maharashtra,Mumbai,"10,470.00","10,500.00",10680,07-08-2022,1900 / 1902,09-08-2022,MH48BM0812,2014 6524 1568,,,Rigid,LDPE,,,,,,,
Ak Plastic Scrap Traders,SDDD3477,1130,Monthly,411,11-08-2022,Maharashtra,Mumbai,"11,910.00","11,960.00",32314,11-08-2022,2020 / 2023,13-08-2022,MH48AG3169,2114 6692 4405,,,Rigid,LDPE,,,,,,,
Ak Plastic Scrap Traders,SDDD3478,1137,Monthly,412,11-08-2022,Maharashtra,Mumbai,"9,970.00","9,925.00",32338,11-08-2022,2042 / 2044/2045,13-08-2022,MH48AG7835,2514 6696 3765,,,Rigid,LDPE,,,,,,,
Ak Plastic Scrap Traders,SDDD3479,1167,Monthly,413,14-08-2022,Maharashtra,Mumbai,"10,370.00","10,485.00",32685,14-08-2022,2126 / 2130,16-08-2022,MH48BM2944,2014 6806 9107,,,Rigid,LDPE,,,,,,,
Ak Plastic Scrap Traders,SDDD3480,1199,Monthly,414,17-08-2022,Maharashtra,Mumbai,"10,700.00","10,620.00",33001,17-08-2022,2220 /2223,20-08-2022,MH48BM8417,2014 6914 4614,,,Rigid,LDPE,,,,,,,
Ak Plastic Scrap Traders,SDDD3481,1202,Monthly,415,18-08-2022,Maharashtra,Mumbai,"10,390.00",450,33174,18-08-2022,2233,20-08-2022,MH48BM2944,2514 6965 8389,,,Rigid,LDPE,,,,,,,
Ak Plastic Scrap Traders,SDDD3482,1221,Monthly,416,21-08-2022,Maharashtra,Mumbai,"10,620.00","10,655.00",33506,21-08-2022,2296 / 2303,23-08-2022,MH48BM2944,2614 7071 0895,,,Rigid,LDPE,,,,,,,
Ak Plastic Scrap Traders,SDDD3483,1255,Monthly,417,25-08-2022,Maharashtra,Mumbai,"10,170.00","10,140.00",34026,25-08-2022,2404 / 2409,27-08-2022,MH01CR9463,2814 7245 0768,,,Rigid,LDPE,,,,,,,
Ak Plastic Scrap Traders,SDDD3484,1258,Monthly,418,25-08-2022,Maharashtra,Mumbai,"10,500.00","10,465.00",34087,25-08-2022,2418 / 2422,27-08-2022,MH48BM2944,2114 7277 5222,,,Rigid,LDPE,,,,,,,
Al Hadid Corporation,SDDD3485,1052,Monthly,AHC/22-23/78,01-08-2022,Maharashtra,Solapur,"9,290.00","9,320.00",8392,01-08-2022,1771 /1775,04-08-2022,MH13CU3626,2214 6265 6493,,,Rigid,LDPE,,,,,,,
Anil Traders,SDDD3486,1044,Monthly,AT/22-23/69,02-08-2022,Maharashtra,Mumbai,"11,195.00","11,170.00",2339,02-08-2022,1746 / 1749,04-08-2022,DD01E9751,2514 6278 3943,,,Rigid,LDPE,,,,,,,
Ayan Traders,SDDD3487,1078,Monthly,323,05-08-2022,Maharashtra,Pune,"7,595.00","7,715.00",5642,05-08-2022,1853 / 1856,07-08-2022,DN09S9345,2814 6452 5678,,,Rigid,LDPE,,,,,,,
